,county,precinct,office,district,party,candidate,votes
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,9
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,124
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,273
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,YES,167
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,NO,206
2,St_Joseph,SOUTH BEND 1,Straight Party,,DEM,DEMOCRATIC,176
2,St_Joseph,SOUTH BEND 1,Straight Party,,REP,REPUBLICAN,89
2,St_Joseph,SOUTH BEND 1,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,SOUTH BEND 1,Straight Party,,WTP,WE THE PEOPLE,8
2,St_Joseph,SOUTH BEND 1,Straight Party,,RED,INDIANA REDEMPTION PARTY,2
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,265
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,REP,JIM BANKS,132
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,LIB,ANDREW HORNING,13
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,DEM,DESTINY WELLS,274
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,REP,TODD ROKITA,133
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,256
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,REP,PATRICIA JORDAN,152
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,DEM,SHARON BANICKI,279
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,REP,CANDACE BROWN,127
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,REP,MICHAEL ROSE,126
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,274
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,14
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,123
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,274
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,247
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,155
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,DEM,MAUREEN BAUER,299
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,REP,NO CANDIDATE FILED,0
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,LIB,CHARLIE FLORANCE,53
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,303
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,LIB,TIM COTTON,54
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,262
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,132
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,8
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,22
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,254
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,127
1,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,DEM,ED FISHER,282
1,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,REP,DEREK D DIETER,122
2,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,YES,262
2,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,NO,69
3,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,227
3,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,107
4,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,YES,224
4,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,NO,110
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,YES,244
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,NO,91
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,YES,228
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,NO,104
7,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,YES,252
7,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,NO,83
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,122
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,65
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,70
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,44
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,70
8,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,146
9,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,YES,265
9,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,NO,70
0,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,YES,239
0,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,NO,88
1,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,YES,256
1,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,NO,85
0,St_Joseph,SOUTH BEND 1,Ballots Cast,,,,307
1,St_Joseph,SOUTH BEND 1,Registered Voters,,,,538
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,60
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,239
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,YES,111
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,NO,169
2,St_Joseph,SOUTH BEND 1,Straight Party,,DEM,DEMOCRATIC,142
2,St_Joseph,SOUTH BEND 1,Straight Party,,REP,REPUBLICAN,28
2,St_Joseph,SOUTH BEND 1,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,SOUTH BEND 1,Straight Party,,WTP,WE THE PEOPLE,0
2,St_Joseph,SOUTH BEND 1,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,234
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,REP,JIM BANKS,68
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,LIB,ANDREW HORNING,2
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,DEM,DESTINY WELLS,232
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,REP,TODD ROKITA,67
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,214
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,REP,PATRICIA JORDAN,88
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,DEM,SHARON BANICKI,230
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,REP,CANDACE BROWN,68
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,REP,MICHAEL ROSE,61
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,237
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,4
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,64
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,235
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,208
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,89
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,8,DEM,RYAN M. DVORAK,254
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,8,REP,NO CANDIDATE FILED,0
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,240
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,LIB,TIM COTTON,40
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,228
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,66
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,3
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 2,2,DEM,RAFAEL A MORTON,255
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 2,2,REP,NO CANDIDATE FILED,0
1,St_Joseph,SOUTH BEND 1,COUNTY COUNCIL DISTRICT G,,DEM,MARK CATANZARITE,259
1,St_Joseph,SOUTH BEND 1,COUNTY COUNCIL DISTRICT G,,REP,NO CANDIDATE FILED,0
2,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,DEM,ED FISHER,232
2,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,REP,DEREK D DIETER,68
3,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,YES,200
3,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,NO,48
4,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,177
4,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,68
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,YES,163
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,NO,90
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,YES,181
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,NO,72
7,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,YES,161
7,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,NO,93
8,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,YES,183
8,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,NO,61
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,99
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,56
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,56
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,58
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,47
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,103
0,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,YES,206
0,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,NO,37
1,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,YES,177
1,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,NO,65
2,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,YES,197
2,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,NO,53
0,St_Joseph,SOUTH BEND 1,Ballots Cast,,,,403
1,St_Joseph,SOUTH BEND 1,Registered Voters,,,,822
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,1
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,1
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,3
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,99
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,288
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,YES,178
1,St_Joseph,SOUTH BEND 1,PUBLIC QUESTION #1,,,NO,198
2,St_Joseph,SOUTH BEND 1,Straight Party,,DEM,DEMOCRATIC,158
2,St_Joseph,SOUTH BEND 1,Straight Party,,REP,REPUBLICAN,52
2,St_Joseph,SOUTH BEND 1,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,SOUTH BEND 1,Straight Party,,WTP,WE THE PEOPLE,3
2,St_Joseph,SOUTH BEND 1,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,280
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,REP,JIM BANKS,111
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,LIB,ANDREW HORNING,6
3,St_Joseph,SOUTH BEND 1,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,DEM,DESTINY WELLS,283
0,St_Joseph,SOUTH BEND 1,ATTORNEY GENERAL,,REP,TODD ROKITA,112
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,266
1,St_Joseph,SOUTH BEND 1,COUNTY CORONER,,REP,PATRICIA JORDAN,124
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,DEM,SHARON BANICKI,276
2,St_Joseph,SOUTH BEND 1,COUNTY RECORDER,,REP,CANDACE BROWN,115
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,REP,MICHAEL ROSE,108
3,St_Joseph,SOUTH BEND 1,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,283
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,6
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,105
4,St_Joseph,SOUTH BEND 1,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,287
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,244
5,St_Joseph,SOUTH BEND 1,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,139
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,DEM,MAUREEN BAUER,306
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,REP,NO CANDIDATE FILED,0
6,St_Joseph,SOUTH BEND 1,STATE REPRESENTATIVE,6,LIB,CHARLIE FLORANCE,66
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,295
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,SOUTH BEND 1,STATE SENATOR,10,LIB,TIM COTTON,72
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,268
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,113
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,10
8,St_Joseph,SOUTH BEND 1,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 2,2,DEM,RAFAEL A MORTON,325
0,St_Joseph,SOUTH BEND 1,COUNTY COMMISSIONER DISTRICT 2,2,REP,NO CANDIDATE FILED,0
1,St_Joseph,SOUTH BEND 1,COUNTY COUNCIL DISTRICT G,,DEM,MARK CATANZARITE,330
1,St_Joseph,SOUTH BEND 1,COUNTY COUNCIL DISTRICT G,,REP,NO CANDIDATE FILED,0
2,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,DEM,ED FISHER,282
2,St_Joseph,SOUTH BEND 1,COUNTY SURVEYOR,,REP,DEREK D DIETER,111
3,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,YES,234
3,St_Joseph,SOUTH BEND 1,MANIER - JUDICIAL RETENTION,,,NO,84
4,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,194
4,St_Joseph,SOUTH BEND 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,125
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,YES,183
5,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE DEREK READ MOLTER,,,NO,139
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,YES,199
6,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE LORETTA H. RUSH,,,NO,125
7,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,YES,181
7,St_Joseph,SOUTH BEND 1,RETAIN JUSTICE MARK S. MASSA,,,NO,145
8,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,YES,206
8,St_Joseph,SOUTH BEND 1,SANFORD - JUDICIAL RETENTION,,,NO,111
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,128
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,67
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,59
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,46
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,69
9,St_Joseph,SOUTH BEND 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,125
0,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,YES,250
0,St_Joseph,SOUTH BEND 1,STEELE - JUDICIAL RETENTION,,,NO,69
1,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,YES,205
1,St_Joseph,SOUTH BEND 1,TELLOYAN - JUDICIAL RETENTION,,,NO,111
2,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,YES,222
2,St_Joseph,SOUTH BEND 1,WOODS - JUDICIAL RETENTION,,,NO,103
0,St_Joseph,SOUTH BEND 1,Ballots Cast,,,,464
1,St_Joseph,SOUTH BEND 1,Registered Voters,,,,1096
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,2
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,SOUTH BEND 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
